id,cost,LB,f_hat,num_coll,cost-to-go,h_hat,parent
139002908238080,3369,3397,3377.5714284585033,108,230,8.571428458503402,139002911611392
139002911352704,3369,3397,3377.492063378836,107,230,8.49206337883598,139002908238080
139002911309120,3380,3407,3388.281249890015,106,219,8.281249890014648,139002911352704
139002908368448,3380,3407,3388.2031248897706,105,219,8.203124889770507,139002911309120
139002907087424,3382,3407,3389.999999892923,104,217,7.999999892923077,139002908368448
139002908964864,3382,3409,3392.924242278586,103,217,10.924242278585858,139002907087424
139002908197376,3382,3415,3392.5522386657985,101,217,10.552238665798619,139002908964864
139002911997568,3382,3420,3392.2463766779456,101,217,10.24637667794581,139002908197376
139002909248256,3382,3424,3392.1449274024367,100,217,10.144927402436464,139002911997568
139002911817792,3382,3418,3391.9999998685716,100,217,9.999999868571429,139002909248256
139002913384192,3382,3419,3391.8999998684712,99,217,9.89999986847143,139002911817792
139002908282688,3405,3431,3414.563380155076,97,194,9.563380155076374,139002913384192
139002907029056,3405,3431,3414.799999867,98,194,9.799999866999999,139002908282688
139002907005056,3405,3431,3414.8405795732324,97,194,9.840579573232514,139002907029056
139002907579776,3405,3431,3414.499999868357,95,194,9.499999868357142,139002907005056
139002908805312,3405,3435,3414.1388887644985,94,194,9.138888764498455,139002907579776
139002907044160,3405,3435,3413.917808098238,93,194,8.917808098237943,139002908805312
139002908117056,3411,3432,3419.7027025850985,92,188,8.702702585098613,139002907044160
139002912064576,3411,3430,3419.72602727653,91,188,8.726027276530308,139002908117056
139002911447488,3411,3431,3419.5135133961653,90,188,8.513513396165084,139002912064576
139002905883136,3426,3441,3434.3066665525885,89,173,8.306666552588448,139002911447488
139002908756544,3434,3447,3442.1199998874026,87,165,8.119999887402669,139002905883136
139002905921856,3434,3447,3445.780821748358,86,165,11.780821748358044,139002908756544
139002906169024,3459,3468,3470.4864863219505,85,140,11.486486321950329,139002905921856
139002902821184,3459,3468,3470.351351187217,84,140,11.351351187216947,139002906169024
139002903143808,3459,3468,3470.0666665073068,83,140,11.066666507306667,139002902821184
139002905717184,3459,3470,3469.9210524749483,83,140,10.92105247494806,139002903143808
